12.47,77.06,10.47,0
13.63,76.76,9.61,0
15.37,75.74,8.89,0
16.7,74.95,8.35,0
18.36,73.89,7.75,0
20.45,72.35,7.21,0
22.4,70.7,6.9,1
24.82,68.82,6.36,1
11.73,74.98,13.29,0
12.53,75.02,12.45,0
13.72,74.82,11.46,0
15.21,74.19,10.59,0
17.04,73.14,9.82,0
18.37,72.59,9.04,0
20.69,70.95,8.35,0
22.88,69.4,7.73,1
25.25,67.52,7.24,1
27.75,65.55,6.7,1
30.43,63.5,6.07,2
32.61,61.57,5.82,2
11.39,72.4,16.21,0
12.3,72.61,15.09,0
13.57,72.51,13.92,0
15.03,72.17,12.8,0
17.01,71.37,11.61,0
18.67,70.61,10.72,0
20.76,69.48,9.76,0
23.08,67.88,9.04,0
25.75,66,8.25,1
28.05,64.32,7.63,2
30.89,62.21,6.9,2
33.12,60.44,6.44,2
36.27,57.81,5.92,2
38.77,55.75,5.48,2
42.09,52.88,5.04,2
11.2,69.21,19.59,0
12.15,69.63,18.23,0
13.49,69.72,16.79,0
15.14,69.39,15.46,0
16.97,68.99,14.05,0
18.58,68.46,12.96,0
20.73,67.49,11.78,0
23.31,66.03,10.67,0
25.71,64.62,9.67,0
28.6,62.59,8.81,3
31.12,60.81,8.08,2
33.31,59.3,7.39,2
36.95,56.49,6.56,2
39.81,54.14,6.05,2
42.47,51.99,5.54,2
44.64,50.25,5.12,2
48.08,47.15,4.77,2
11.16,65.31,23.53,4
12.01,65.94,22.05,4
13.15,66.42,20.43,0
14.77,66.45,18.78,0
16.48,66.55,16.97,0
18.36,65.91,15.72,0
20.89,64.91,14.21,0
23.24,63.99,12.78,0
25.62,62.73,11.65,0
28.63,60.95,10.42,0
31.19,59.29,9.51,2
34.25,57.02,8.61,2
37.08,55.23,7.69,2
40.37,52.82,6.81,2
42.7,51.1,6.2,2
45.19,49.18,5.64,2
47.83,46.96,5.21,2
50.51,44.57,4.92,2
54.78,40.81,4.41,5
10.78,60.66,28.56,4
11.67,61.91,26.42,4
12.77,62.54,24.69,4
